intervention,label,intervention_type,direction_definition,challenge,modulation_fraction,native_parameter_value,simulation_status,hypo_burden_mgdl_min,hyper_burden_mgdl_min,abs_dev_from_target_mgdl_min,glucose_auc_mgdl_min,glucose_sd_mgdl,glucose_rmsd_mgdl,glucose_peak_mgdl,glucose_nadir_mgdl,recovery_time_min,undershoot_mgdl,insulin_auc_muL_min,glucagon_auc_pM_min,mean_glucose_mgdl,mean_insulin_muL,mean_glucagon_pM,composite_loss
insulin_signal_global_inhibition,Insulin signalling inhibition,inhibition,"u:0=none,1=max",ivgtt,0.72,0.28,ok,0.0,3846.3723042420215,8275.038122379068,20914.74799164912,71.70493246335782,7.7841307647159015,413.4856889808855,70.54930008391193,49.5,18.536362059717717,32748.38223055798,1835.5406206622265,116.51670190333772,182.44224083876313,10.225853039900983,60.80529359948811
insulin_signal_global_inhibition,Insulin signalling inhibition,inhibition,"u:0=none,1=max",ivgtt,0.73,0.27,ok,0.0,3901.11606166277,8321.946018624549,21070.20793339705,71.87359491912343,7.782052052872812,413.5296935562341,71.02952908666602,50.5,18.055850159494824,33168.35315474328,1811.8632903118419,117.38277400221197,184.7819117255893,10.09394590702976,60.93294339321488
insulin_signal_global_inhibition,Insulin signalling inhibition,inhibition,"u:0=none,1=max",ivgtt,0.74,0.26,ok,0.0,3958.0297911203306,8372.16481915087,21230.782760538972,72.04151139002514,7.780106767832907,413.5737261569724,71.51418228534642,51.5,17.570910525852668,33610.78478183447,1788.3028812680122,118.27734128433968,187.24671187651515,9.9626901463399,61.065967554041855
insulin_signal_global_inhibition,Insulin signalling inhibition,inhibition,"u:0=none,1=max",ivgtt,0.75,0.25,ok,0.0,4017.021500234393,8425.67944786154,21396.54005645457,72.20885012084385,7.778143535587872,413.61777082855815,72.00116616219516,52.49999999999999,17.08363575822878,34077.32016564307,1764.8517384343186,119.20078025879985,189.84579479466893,9.832043111054702,61.20378520712822
insulin_signal_global_inhibition,Insulin signalling inhibition,inhibition,"u:0=none,1=max",ivgtt,0.76,0.24,ok,0.0,4078.5260239441855,8482.991032081336,21567.979774236377,72.3751108141527,7.776137500234097,413.66184322037606,72.49189858589224,53.0,16.592608656577028,34568.58275785047,1741.5322159296907,120.15587617958984,192.58263374847058,9.70212933665566,61.34503515031905
insulin_signal_global_inhibition,Insulin signalling inhibition,inhibition,"u:0=none,1=max",ivgtt,0.77,0.22999999999999998,ok,0.0,4142.425864176221,8544.348923235357,21745.56550742812,72.53945197802324,7.774037294216997,413.7059443700442,72.98553297217121,53.99999999999999,16.098674599458406,35088.24537502655,1718.3716381935262,121.14521174054666,195.47769011156853,9.573101048431903,61.49326636360237
insulin_signal_global_inhibition,Insulin signalling inhibition,inhibition,"u:0=none,1=max",ivgtt,0.7799999999999999,0.22000000000000008,ok,0.0,4209.048476288069,8616.533366790032,21967.84712035523,72.63941241178506,7.761161851159655,413.750071768092,73.48340309853846,55.5,15.600500211719606,35648.34873070759,1701.3741170773715,122.0435951130846,198.0463818372644,9.452078428207619,61.59085266634982
insulin_signal_global_inhibition,Insulin signalling inhibition,inhibition,"u:0=none,1=max",ivgtt,0.7899999999999999,0.21000000000000008,ok,0.0,4278.513335276171,8686.55224130944,22158.5783217528,72.79949679069688,7.759190079650771,413.79419363312405,73.98489799137816,56.49999999999999,15.098696182790206,36230.094901677425,1678.4811700012147,123.1032128986267,201.27830500931907,9.324895388895639,61.751783316663435
insulin_signal_global_inhibition,Insulin signalling inhibition,inhibition,"u:0=none,1=max",ivgtt,0.7999999999999999,0.20000000000000007,ok,0.0,4350.979958287979,8755.252549133507,22318.185159183653,73.01451704006092,7.768015543019407,413.83835800132937,74.49074765214652,57.5,14.59253164415091,36836.11886604405,1649.969012585774,124.33529336592564,205.2151468860393,9.192027925268937,61.97675004263505
insulin_secretion_inhibition,Beta-cell secretion impairment,inhibition,"u:0=none,1=max",ivgtt,0.75,0.25,ok,0.0,2553.505549697673,5266.155004705788,18947.495388368905,61.72509942170665,7.923739101431585,424.71165344801534,70.08605453410892,26.0,28.621684766545386,7633.446534203481,2181.1371116532887,105.55707737252872,42.52616453595254,12.151181680519715,56.49721792986122
insulin_secretion_inhibition,Beta-cell secretion impairment,inhibition,"u:0=none,1=max",ivgtt,0.76,0.24,ok,0.0,2572.9241080565284,5178.340704032835,19110.778550175954,61.658276504167084,7.920597773202256,425.0430424302415,71.38704168408776,26.0,27.576226440914922,7412.086805730728,2149.296409343928,106.46673287006102,41.29296270602077,11.973796152333861,56.411483504301295
insulin_secretion_inhibition,Beta-cell secretion impairment,inhibition,"u:0=none,1=max",ivgtt,0.77,0.22999999999999998,ok,0.0,2594.561370481941,5097.931720697269,19285.206524593224,61.59456545204175,7.917158281389999,425.37864040681285,72.7659642444363,26.0,26.45716282261789,7190.461190427052,2117.8584905946136,107.43847646012938,40.05827961240698,11.798654543702582,56.323520358411656
