t,u,glucose_mgdl,insulin_mU_L,glucagon_pM,GammaHGP,GammaPGU,GammaHGU,Secr,GammaPCR,MIPGU,MIHGPinf,MCHGP,MIHGUinf
-10.0,0.8,94.98226203773781,7.137101519451347,13.302806001894847,1.282505258754654,0.17988883414988402,0.13956094855741324,17.510533564525893,12.093602696972695,0.8848546699439748,1.8071551220260949,1.1285775016731427,0.5738146282550861
-8.0,0.8,95.99879774287817,7.194691861595678,13.288358704519098,1.2893903888673997,0.18099441326206916,0.14430319407553654,17.65524537189389,11.94827589004623,0.8816409479866723,1.7979234436355096,1.1257296115617936,0.5805463758911417
-6.0,0.8,97.01972926740764,7.241527720676691,13.25412533728724,1.2927253695719712,0.18233913705360433,0.1489137689391355,17.772542333438384,11.82402356744612,0.8792783389181738,1.7906280175638596,1.1214748459901367,0.5858021940586738
-4.0,0.8,98.0358022592017,7.280080751383539,13.206190865266377,1.293370400584905,0.18385569014171751,0.15338236788772966,17.88099814471387,11.717219826279337,0.8775525019279549,1.784632037465931,1.116283844184495,0.5900807739972778
-2.0,0.8,99.03997548370194,7.313423673091883,13.149149096963374,1.2919749908163933,0.1854917872465648,0.15771116320013928,17.992287542191306,11.624331970626315,0.8763066604513137,1.7794040624523146,1.1105091868328898,0.5937817926319581
0.0,0.8,100.02725276568671,7.344351884610856,13.08641265100467,1.289037045577025,0.1872068695074022,0.16191118523613204,18.078035295374974,11.542283220382041,0.8754245527013893,1.7745423631746724,1.104409097491947,0.5971993321965153
2.0,0.8,344.74667697957875,187.73884216840068,12.182816134875166,0.3317421373706225,0.42145999993812594,0.9935664618133179,1601.998264043,6.069590800000002,1.3244593979633894,0.07000000000000006,1.0344613509432237,1.9999999999999971
4.0,0.8,361.52634615495487,297.68464343101783,11.363369816104015,0.04423100198910976,2.9647324275164384,1.1210557336855769,379.9279154061386,6.069590800000008,6.041398393827536,0.07000000000000006,0.970569253179341,1.999999999997542
6.0,0.8,315.25434094545665,260.8192704236469,10.665745288684798,0.036505475668833325,6.199651183695127,1.2282690012177218,293.3995648415842,6.069590800004045,11.82685122863851,0.07000000000000006,0.9160733015341496,1.9999999771353993
8.0,0.8,295.19073327921046,214.83838383517053,10.071806713683578,0.04679819567725132,6.664131291357494,1.3272284947243944,270.1209946697955,6.0695908000795065,13.012024570801882,0.07000000000000006,0.8698765196327642,1.9999992249515315
10.0,0.8,274.950806176704,182.78442605982985,9.566132756917954,0.06169966429089041,6.47960548582329,1.4185142813317442,249.18131222367845,6.0695908011571955,13.254008830779593,0.07000000000000028,0.8309455980430501,1.999992529754812
12.0,0.8,254.73094442688748,159.6303097976589,9.1356510475319,0.07900844316109576,6.136688311568374,1.5024477039080846,228.04896723354457,6.06959081410303,13.310431264364201,0.07000000000003914,0.7983361903148545,1.9999580525657292
14.0,0.8,235.08611152485847,141.69173708783347,8.769156630806169,0.09835474680269504,5.7377152715520445,1.5785668833720186,206.60168652194216,6.069590945169614,13.302065322449154,0.07000000000254869,0.7711896401700127,1.9998326598523724
16.0,0.8,216.23684619122255,126.96638248311886,8.457112116396814,0.11954116446994598,5.3167855815828045,1.6439542524982942,184.9073964801091,6.069592067674929,13.250242516336918,0.07000000008506846,0.7487421938060347,1.9994658256226514
18.0,0.8,198.29183686087882,114.27893990983604,8.19147597585628,0.14211579498511048,4.887992665354888,1.6888801398225366,163.270633578312,6.069600284148817,13.150546390668545,0.07000000182834665,0.7303281413931385,1.9985261767986289
20.0,0.8,181.34172371382076,102.9178354839652,7.965285961586284,0.16513616897513447,4.456928807390192,1.6886959376320807,142.17071925357135,6.069652195670737,12.98548985964268,0.07000002904021296,0.715354935871569,1.9963220478756452
