key,value,source
Glucagon signalling (hepatic HGP)|civii|G0,0.2573596831511304,results/scans/*_classification.csv
Glucagon signalling (hepatic HGP)|civii|G1,0.0703781902241953,results/scans/*_classification.csv
Insulin secretion (potentiation)|civii|class,TypeII,results/scans/*_classification.csv
Insulin secretion (potentiation)|civii|u_opt,0.52,results/scans/*_classification.csv
Insulin secretion (potentiation)|civii|L0,4.997180791405992,results/scans/*_classification.csv
Insulin secretion (potentiation)|civii|Lopt,3.781370094788012,results/scans/*_classification.csv
Insulin secretion (potentiation)|civii|L1,27.71917716522804,results/scans/*_classification.csv
Insulin secretion (potentiation)|civii|G0,1.2158106966179796,results/scans/*_classification.csv
Insulin secretion (potentiation)|civii|G1,23.937807070440027,results/scans/*_classification.csv
Glucagon secretion (potentiation)|civii|class,TypeII*,results/scans/*_classification.csv
Glucagon secretion (potentiation)|civii|u_opt,0.5900000000000001,results/scans/*_classification.csv
Glucagon secretion (potentiation)|civii|L0,4.997180791405992,results/scans/*_classification.csv
Glucagon secretion (potentiation)|civii|Lopt,4.583586177581677,results/scans/*_classification.csv
Glucagon secretion (potentiation)|civii|L1,4.66514943866088,results/scans/*_classification.csv
Glucagon secretion (potentiation)|civii|G0,0.4135946138243147,results/scans/*_classification.csv
Glucagon secretion (potentiation)|civii|G1,0.0815632610792027,results/scans/*_classification.csv
Insulin signalling (inhibition)|civii|class,TypeI,results/scans/*_classification.csv
Insulin signalling (inhibition)|civii|u_opt,1.0,results/scans/*_classification.csv
Insulin signalling (inhibition)|civii|L0,4.997180791405992,results/scans/*_classification.csv
Insulin signalling (inhibition)|civii|Lopt,2.897285376030188,results/scans/*_classification.csv
Insulin signalling (inhibition)|civii|L1,2.897285376030188,results/scans/*_classification.csv
Insulin signalling (inhibition)|civii|G0,,results/scans/*_classification.csv
Insulin signalling (inhibition)|civii|G1,,results/scans/*_classification.csv
Glucagon signalling (inhibition)|civii|class,Type0,results/scans/*_classification.csv
Glucagon signalling (inhibition)|civii|u_opt,0.05,results/scans/*_classification.csv
Glucagon signalling (inhibition)|civii|L0,4.997180791405992,results/scans/*_classification.csv
Glucagon signalling (inhibition)|civii|Lopt,4.982775499910963,results/scans/*_classification.csv
Glucagon signalling (inhibition)|civii|L1,5.132416698542221,results/scans/*_classification.csv
Glucagon signalling (inhibition)|civii|G0,,results/scans/*_classification.csv
Glucagon signalling (inhibition)|civii|G1,,results/scans/*_classification.csv
Insulin secretion (impairment)|civii|class,TypeII,results/scans/*_classification.csv
Insulin secretion (impairment)|civii|u_opt,0.2699999999999999,results/scans/*_classification.csv
